,Unnamed: 0,food,Caloric Value,Fat,Saturated Fats,Monounsaturated Fats,Polyunsaturated Fats,Carbohydrates,Sugars,Protein,Dietary Fiber,Cholesterol,Sodium,Water,Vitamin A,Vitamin B1,Vitamin B11,Vitamin B12,Vitamin B2,Vitamin B3,Vitamin B5,Vitamin B6,Vitamin C,Vitamin D,Vitamin E,Vitamin K,Calcium,Copper,Iron,Magnesium,Manganese,Phosphorus,Potassium,Selenium,Zinc,Nutrition Density
487,487,pumpkin flowers raw,5,0.084,0.049,0.099,0.05,1.1,0,0.3,0,0,0.066,31.4,0,0,0.026,0,0.079,0.2,0,0,9.2,0,0,0,12.9,0,0.2,7.9,0,16.2,57.1,0.075,0,23.71
488,488,mustard greens raw,15,0.2,0.072,0.071,0.035,2.6,0.7,1.6,1.8,0,0.004,50.8,0,0.088,0.026,0,0.097,0.4,0.1,0.1,39.2,0,1.1,0.1,64.4,0.018,0.9,17.9,0,32.5,215,0.076,0.1,110.7
489,489,arrowhead,12,0.084,0,0,0,2.4,0,0.6,0,0,0.082,8.7,0,0.029,0.06,0,0.084,0.2,0.09,0.012,0.1,0,0,0,1.2,0.066,0.3,6.1,0.072,20.9,110.6,0.09,0.094,4.68
490,490,japanese cabbage,45,0.2,0.092,0.081,0.092,8.5,2,2.4,4.7,0,0.4,137.1,0,0,0.094,0,0.029,0.3,0.3,0.2,1.1,0,0.2,0.2,72,0.037,0.7,18,0.4,64.5,1279.5,0.008,0.3,89.6
491,491,mung bean sprouts cooked,24,0.1,0.05,0.007,0.062,4.5,3.5,2.5,1,0,0.3,115.8,0,0.02,0.092,0,0.1,1,0.3,0.032,14.1,0,0.061,0.039,14.9,0.2,0.8,17.4,0.2,34.7,125.2,0,0.6,37.9
492,492,scallop squash cooked,29,0.3,0.034,0.081,0.1,5.9,2.7,1.9,3.4,0,0.4,171,0,0.085,0.037,0,0.036,0.8,0.1,0.2,19.4,0,0.2,0.035,27,0.1,0.6,34.2,0.2,50.4,252,0.055,0.4,58.5
493,493,pumpkin leaves cooked,15,0.2,0.092,0.017,0.093,2.4,0.5,1.9,1.9,0,0.2,65.7,0,0.096,0.027,0,0.053,0.6,0.078,0.1,0.7,0,0.7,0.049,30.5,0.029,2.3,27,0.3,56.1,311,0.083,0.1,39.9
494,494,hungarian pepper,8,0.1,0.082,0.086,0.099,1.8,1,0.2,0.3,0,0.028,24.7,0,0.021,0.053,0,0.008,0.3,0.064,0.1,25.1,0,0.1,0.064,3.2,0.017,0.1,4.3,0.007,7.8,54.5,0.058,0.047,30.8
495,495,sweet potato baked,103,0.2,0.013,0.072,0.1,23.6,7.4,2.3,3.8,0,0.07,86.4,0,0.1,0.043,0,0.1,1.7,1,0.3,22.3,0,0.8,0.04,43.3,0.2,0.8,30.8,0.6,61.6,541.5,0.03,0.4,96.3
496,496,chinese cabbage pe tsai raw,12,0.2,0.033,0.087,0.004,2.5,1.1,0.9,0.9,0,0.049,71.7,0,0.068,0.05,0,0.028,0.3,0.055,0.2,20.5,0,0.003,0.088,58.5,0.074,0.2,9.9,0.1,22,180.9,0.03,0.2,83.7
497,497,taro raw,116,0.2,0.099,0.062,0.01,27.5,0.4,1.6,4.3,0,0.054,73.5,0,0.028,0.024,0,0.059,0.6,0.3,0.3,4.7,0,2.5,0.001,44.7,0.2,0.6,34.3,0.4,87.4,614.6,0.097,0.2,83.6
498,498,yam bean jicama,49,0.1,0.061,0.088,0.093,11.5,2.3,0.9,6.4,0,0.047,117.1,0,0.075,0.061,0,0.017,0.3,0.2,0.02,26.3,0,0.6,0.019,15.6,0.061,0.8,15.6,0.012,23.4,195,0.045,0.2,61.6
499,499,olives,10,0.9,0.2,0.6,0.043,0.5,0,0.09,0.1,0,0.001,6.7,0,0.06,0,0,0,0.022,0.056,0.086,0.03,0,0.1,0.042,7.4,0.068,0.5,0.3,0.089,0.3,0.7,0.01,0.085,9.479
500,500,mustard greens cooked,36,0.7,0.053,0.2,0.008,6.3,2,3.6,2.8,0,0.4,128.5,0,0.008,0.007,0,0.042,0.6,0.2,0.1,35.4,0,2.5,0.8,165.2,0.1,1.2,18.2,0,58.8,226.8,0.059,0.2,215.2
501,501,pumpkin flowers cooked,20,0.1,0.057,0.007,0.084,4.4,3.2,1.5,1.2,0,0.082,127.6,0,0.019,0.049,0,0.041,0.4,0,0.094,6.7,0,0.061,0,49.6,0.1,1.2,33.5,0,45.6,142,0.007,0.1,64.7
502,502,tree fern cooked,57,0.096,0,0,0,15.3,0,0.4,5.3,0,0.3,125.8,0,0,0.031,0,0.4,5,0.083,0.3,42.6,0,0,0,11.4,0.3,0.2,7.1,0.8,5.7,7.1,0.085,0.4,75.253
503,503,yellow corn raw,606,7.9,1.1,2.1,3.6,123.3,1.1,15.6,12.1,0,0.06,17.2,0,0.6,0.057,0,0.3,6,0.7,1,0,0,0.8,0.016,11.6,0.5,4.5,210.8,0.8,348.6,476.4,0.032,3.7,175
504,504,endive,9,0.1,0.022,0.044,0.072,1.7,0.1,0.6,1.6,0,0.08,46.9,0,0.092,0.065,0,0.017,0.2,0.5,0.095,3.3,0,0.2,0.1,26,0.002,0.4,7.5,0.2,14,157,0.085,0.4,33.7
505,505,wakame,36,0.5,0.1,0.002,0.2,7.3,0.5,2.4,0.4,0,0.7,64,0,0.087,0.2,0,0.2,1.3,0.6,0.07,2.4,0,0.8,0.039,120,0.2,1.7,85.6,1.1,64,40,0.035,0.3,134.7
506,506,tahitian taro raw,55,1.2,0.2,0.022,0.5,8.6,0,3.5,0,0,0.003,110,0,0.079,0.029,0,0.3,1.2,0.2,0.1,120,0,0,0,161.3,0.061,1.6,58.8,0.2,56.3,757.5,0.044,0.1,296.2
507,507,broccoli raw,31,0.3,0.053,0.028,0.015,6,1.5,2.6,2.4,0,0.049,81.3,0,0,0.088,0.085,0,0.1,0.6,0.5,0.2,81.2,0,0.7,0.092,42.8,0.016,0.7,19.1,0.2,60.1,287.6,0.036,11.548
508,508,sweet green peppers raw,30,0.3,0.053,0.043,0.037,6.9,3.6,1.3,2.5,0,0.023,139.9,0,0.013,0.011,0,0.068,0.7,0.1,0.3,119.8,0,0.6,0.083,14.9,0.035,0.5,14.9,0.2,29.8,260.8,0,0.2,146.2
509,509,chinese cabbage pak choi cooked,20,0.3,0.014,0.046,0.1,3,1.4,2.7,1.7,0,0.5,162.4,0,0.068,0.012,0,0.1,0.7,0.1,0.3,44.2,0,0.2,0.049,158.1,0.088,1.8,18.7,0.2,49.3,630.7,0.055,0.3,211.8
510,510,agar,1,0.058,0.087,0.01,0.028,0.3,0.005,0.053,0.027,0,0.049,4.6,0,0,0.027,0.08,0,0.097,0.006,0.091,0.066,0,0,0.003,0.075,2.7,0.002,0.046,3.4,0.027,0.3,11.3,0.1,0.587
511,511,watercress,4,0.006,0.071,0.027,0,0.4,0.099,0.8,0.2,0,0.038,32.3,0,0,0.028,0.085,0,0.034,0.003,0.1,0.085,14.6,0,0.3,0.069,40.8,0.063,0.056,7.1,0.048,20.4,112.2,0.095,1.59
512,512,beet greens cooked,39,0.3,0.025,0.067,0.1,7.9,0.9,3.7,4.2,0,0.3,128.3,0,0.2,0.009,0,0.4,0.7,0.5,0.2,35.9,0,2.6,0.7,164.2,0.4,2.7,97.9,0.7,59,1309,0.097,0.7,218.9
513,513,winter squash cooked,76,0.7,0.1,0.083,0.3,18.1,6.8,1.8,5.7,0,0.068,182.9,0,0.017,0.009,0,0.1,1,0.5,0.3,3.7,0,0.2,0.036,45.1,0.2,0.9,26.7,0.4,39,494.1,0.086,0.5,76
514,514,new zealand spinach raw,8,0.1,0.077,0.078,0.043,1.4,0.2,0.8,0.8,0,0.017,52.6,0,0.051,0.063,0,0.003,0.3,0.2,0.2,16.8,0,0.8,0.2,32.5,0.07,0.4,21.8,0.4,15.7,72.8,0.006,0.2,52.8
515,515,okra,4,0.082,0.001,0.019,0.053,0.9,0.2,0.2,0.4,0,0.098,10.7,0,0.041,0.067,0,0.024,0.1,0.018,0.044,2.7,0,0.001,0.085,9.8,0.038,0.082,6.8,0.031,7.3,35.6,0.066,0.04,14.081
516,516,yautia tannier,132,0.5,0.1,0,0,31.9,0,2,2,0,0.031,98.6,0,0.1,0.015,0,0.071,0.9,0.3,0.3,7,0,0,0,12.2,0.3,1.3,32.4,0.3,68.9,807.3,0.001,0.7,56.9
517,517,mustard spinach cooked,29,0.4,0,0,0,5,0,3.1,3.6,0,0.5,170.1,0,0.081,0.1,0,0.1,0.8,0.2,0.2,117,0,0,0,284.4,0.05,1.4,12.6,0.5,32.4,513,0.018,0.2,414.9
518,518,rhubarb cooked,278,0.1,0.08,0.009,0.067,74.9,68.9,0.9,4.8,0,0.007,162.7,0,0,0.071,0.066,0,0.06,0.5,0.1,0.041,7.9,0,0.5,0.081,348,0.024,0.5,28.8,0.2,19.2,230.4,0.057,80.893
519,519,beets raw,58,0.2,0.028,0.032,0.067,13,9.2,2.2,3.8,0,0.1,119.1,0,0,0.096,0.1,0,0.077,0.5,0.2,0.026,6.7,0,0.064,0.079,21.8,0.1,1.1,31.3,0.4,54.4,442,0.096,19.395
520,520,drumstick pods raw,37,0.2,0.025,0.1,0.037,8.5,0,2.1,3.2,0,0.077,88.2,0,0.022,0.083,0,0.095,0.6,0.8,0.1,141,0,0,0,30,0.062,0.4,45,0.3,50,461,0.073,0.5,185.4
521,521,baby zucchini,2,0.089,0.02,0.047,0.006,0.3,0,0.3,0.1,0,0.041,10.2,0,0.06,0.035,0,0.092,0.063,0.052,0.009,3.8,0,0,0,2.3,0.019,0.098,3.6,0.035,10.2,50.5,0.057,0.084,6.89
522,522,onion raw,16,0.048,0.077,0.091,0.007,3.7,1.7,0.4,0.7,0,0.065,35.6,0,0,0.047,0.054,0,0.043,0.074,0.063,0.098,3,0,0.029,0.08,9.2,0.011,0.014,4,0.072,11.6,58.4,0.092,4.955
523,523,romanesco cooked,39,0.4,0.028,0.077,0.2,7.7,0,3.7,4,0,0.3,109.2,0,0.039,0.085,0,0.1,0.8,0.8,0.3,88.6,0,0,0,39,0.081,0.9,23.2,0.3,69.5,339.2,0.067,0.8,144.3
